rank,symbol,k_period,sl_points,tp_points,profit,pf,mdd,win_rate,sharpe,recovery,score,top
330,AUDUSD,21,700,300,-358.13,0.76,1176.34,50.0,-0.1,-0.3,0.034,
331,USDCHF,21,1100,700,-471.31,0.83,1680.46,68.2,-0.06,-0.3,0.033,
332,USDCHF,14,300,900,-417.8,0.89,1352.19,46.7,-0.05,-0.3,0.026,
333,USDCHF,21,700,700,-489.84,0.86,1381.01,62.5,-0.06,-0.4,0.02,
334,NZDUSD,28,1100,900,-482.0,0.79,1534.47,66.7,-0.08,-0.3,0.019,
335,EURUSD,14,900,500,-430.59,0.8,1042.36,55.0,-0.08,-0.4,0.019,
336,USDCHF,14,900,300,-462.05,0.84,1389.24,56.5,-0.06,-0.3,0.019,
337,USDJPY,21,900,300,-510.1,0.84,1601.48,67.9,-0.07,-0.3,0.018,
338,AUDUSD,28,300,500,-447.45,0.82,1001.07,56.5,-0.09,-0.4,0.017,
339,USDJPY,28,1100,500,-493.81,0.83,2791.72,62.5,-0.08,-0.2,0.017,
340,USDCHF,14,700,900,-452.79,0.87,1319.26,50.0,-0.05,-0.3,0.016,
341,AUDUSD,21,900,500,-342.12,0.66,723.84,46.7,-0.15,-0.5,0.016,
342,USDJPY,14,900,900,-443.83,0.87,2648.85,45.5,-0.06,-0.2,0.015,
343,USDCHF,14,1100,300,-482.63,0.84,1595.05,59.1,-0.06,-0.3,0.015,
344,USDCHF,14,500,500,-469.25,0.88,1491.12,50.0,-0.05,-0.3,0.011,
345,GBPUSD,28,900,500,-447.45,0.79,1205.83,50.0,-0.08,-0.4,0.006,
