==============================================================================================================
  RANKING | 2026-09-16 01:22:18
  Окно бэктеста: 30 дней | Всего комбинаций: 682
==============================================================================================================
  #    Symbol          K    SL    TP     Profit     PF      MDD   WinR  Sharpe  Recov   Score    Top
--------------------------------------------------------------------------------------------------------------
  139  EURUSDrfd      28   700  1200    +619.3  1.44  +784.5  73.3%   0.12   0.8  0.528       
  140  AUDUSDrfd      28   700   500    +560.4  1.54  +609.2  75.0%   0.15   0.9  0.528       
  141  USDCHFrfd      28   700   700    +648.3  1.36  +776.9  66.7%   0.11   0.8  0.519       
  142  AUDUSDrfd      28   700   300    +541.8  1.53  +609.2  75.0%   0.15   0.9  0.518       
  143  AUDUSDrfd      14   900   300    +572.2  1.47  +610.9  69.6%   0.15   0.9  0.514       
  144  EURUSDrfd      21  1100   900    +562.9  1.45  +608.4  73.3%   0.13   0.9  0.514       
  145  USDCADrfd      14   300  1100    +783.2  1.26 +1079.2  40.0%   0.09   0.7  0.510       
  146  EURUSDrfd      28   900  1200    +564.6  1.41  +839.3  71.4%   0.11   0.7  0.500       
  147  EURUSDrfd      28   900   300    +546.0  1.40  +776.1  75.0%   0.13   0.7  0.499       
  148  USDCADrfd      28  1100   300    +559.3  1.37  +764.4  73.7%   0.11   0.7  0.498       
  149  EURUSDrfd      21  1100   300    +526.7  1.40  +664.0  76.5%   0.14   0.8  0.497       
  150  USDCHFrfd      28   700   300    +586.6  1.33  +860.3  68.8%   0.11   0.7  0.493       
  151  USDCADrfd      28   900   300    +547.8  1.40  +655.5  68.4%   0.13   0.8  0.493       
  152  EURUSDrfd      28   700  1100    +535.1  1.38  +784.5  73.3%   0.10   0.7  0.488       
  153  NZDUSDrfd      14  1100   700    +557.0  1.36  +948.8  69.2%   0.09   0.6  0.485       
  154  NZDUSDrfd      28   700   500    +539.3  1.34  +690.1  66.7%   0.11   0.8  0.477       
  155  NZDUSDrfd      21   700   500    +531.7  1.41  +731.4  61.1%   0.13   0.7  0.476       
  156  EURUSDrfd      28   500  1200    +517.4  1.34  +886.5  68.8%   0.10   0.6  0.468       
  157  USDCADrfd      28  1200   300    +496.3  1.35  +825.0  72.2%   0.11   0.6  0.468       
  158  EURUSDrfd      28   500   300    +498.8  1.33  +878.0  72.2%   0.12   0.6  0.466       
  159  AUDUSDrfd      28   700   900    +441.5  1.43  +609.2  75.0%   0.12   0.7  0.466       
  160  USDCADrfd      14  1100   300    +531.4  1.37  +776.5  59.1%   0.12   0.7  0.466       
  161  EURUSDrfd      28   900  1100    +480.3  1.35  +839.3  71.4%   0.10   0.6  0.460       
  162  NZDUSDrfd      14  1100   300    +487.1  1.31  +948.8  69.2%   0.08   0.5  0.453       
  163  NZDUSDrfd      21   700   300    +458.4  1.36  +674.1  63.2%   0.12   0.7  0.444       
  164  NZDUSDrfd      14  1200   700    +472.7  1.29 +1033.1  69.2%   0.07   0.5  0.443       
  165  USDCADrfd      14  1200   300    +470.9  1.32  +837.1  59.1%   0.10   0.6  0.434       
  166  EURUSDrfd      21  1100   700    +394.4  1.32  +608.4  73.3%   0.10   0.6  0.431       
  167  EURUSDrfd      28   500  1100    +433.1  1.29  +886.5  68.8%   0.09   0.5  0.429       
  168  USDCHFrfd      28   900   900    +442.5  1.20 +1159.8  66.7%   0.06   0.4  0.416       
  169  NZDUSDrfd      14  1200   300    +402.8  1.25 +1033.1  69.2%   0.06   0.4  0.412       
  170  AUDUSDrfd      14   500   300    +386.8  1.23  +567.9  68.0%   0.08   0.7  0.409       
  171  EURUSDrfd      28   700   900    +366.6  1.26  +784.5  73.3%   0.08   0.5  0.409       
  172  AUDUSDrfd      14   500   700    +358.1  1.22  +653.1  68.0%   0.07   0.5  0.394       
  173  USDJPYrfd      21  1100   500    +433.0  1.14 +1804.1  60.9%   0.06   0.2  0.394       
  174  NZDUSDrfd      14   300   300    +389.3  1.18  +699.4  62.5%   0.07   0.6  0.392       
  175  USDJPYrfd      28   500   300    +350.9  1.20 +1292.9  71.4%   0.09   0.3  0.390       
  176  NZDUSDrfd      21   900   500    +363.2  1.25  +900.0  61.1%   0.08   0.4  0.387       
  177  NZDUSDrfd      28   700   700    +347.2  1.22  +860.3  66.7%   0.08   0.4  0.386       
  178  USDCHFrfd      28   300   500    +444.6  1.14 +1763.8  52.2%   0.06   0.3  0.385       
  179  AUDUSDrfd      14   900   500    +308.4  1.25  +610.9  69.6%   0.09   0.5  0.383       
  180  USDCADrfd      14   300   700    +471.5  1.15 +1079.2  40.0%   0.06   0.4  0.381       
  181  EURUSDrfd      28   900   900    +311.8  1.23  +839.3  71.4%   0.07   0.4  0.381       
  182  AUDUSDrfd      28   500   500    +269.6  1.19  +479.5  72.2%   0.06   0.6  0.366       
  183  AUDUSDrfd      14   500   500    +291.6  1.18  +653.1  68.0%   0.06   0.4  0.363       
  184  USDCADrfd      21   300   300    +321.4  1.17 +1004.7  59.3%   0.07   0.3  0.358       
  185  NZDUSDrfd      21   700   700    +287.3  1.22  +731.4  61.1%   0.08   0.4  0.357       
  186  NZDUSDrfd      21   900   300    +289.9  1.20  +842.7  63.2%   0.07   0.3  0.356       
  187  AUDUSDrfd      28   500   300    +251.1  1.18  +648.0  72.2%   0.06   0.4  0.354       
  188  EURUSDrfd      28   700   500    +245.2  1.17  +784.5  75.0%   0.06   0.3  0.354       
  189  EURUSDrfd      28   500   900    +264.6  1.17  +886.5  68.8%   0.06   0.3  0.351       
  190  EURUSDrfd      21   500  1200    +279.8  1.15  +760.1  66.7%   0.05   0.4  0.351       
  191  EURUSDrfd      21  1100   500    +225.8  1.18  +608.4  73.3%   0.07   0.4  0.347       
  192  NZDUSDrfd      28   700   300    +254.5  1.16  +861.2  68.8%   0.06   0.3  0.346       
  193  AUDUSDrfd      14   700   700    +248.6  1.14  +864.6  66.7%   0.05   0.3  0.337       
  194  EURUSDrfd      28   700   700    +198.0  1.14  +784.5  73.3%   0.05   0.3  0.329       
  195  USDCHFrfd      28   900   700    +236.7  1.11 +1159.8  66.7%   0.04   0.2  0.327       
  196  EURUSDrfd      28   300  1200    +252.8  1.12  +811.5  60.0%   0.04   0.3  0.326       
  197  EURUSDrfd      28   900   500    +190.4  1.14  +839.3  73.3%   0.04   0.2  0.326       
  198  NZDUSDrfd      28   900   500    +202.2  1.10 +1027.2  66.7%   0.04   0.2  0.315       
  199  NZDUSDrfd      28   700   900    +192.1  1.12  +860.3  66.7%   0.04   0.2  0.314       
  200  EURUSDrfd      21   500  1100    +195.5  1.10  +760.1  66.7%   0.04   0.3  0.313       
  201  AUDUSDrfd      14   700   900    +190.4  1.10  +864.6  66.7%   0.04   0.2  0.311       
  202  NZDUSDrfd      21  1100   500    +194.7  1.12 +1068.5  61.1%   0.04   0.2  0.305       
  203  AUDUSDrfd      14   700   300    +175.3  1.10  +756.7  66.7%   0.03   0.2  0.305       
  204  USDJPYrfd       7   700   300    +188.0  1.05 +1310.8  68.3%   0.02   0.1  0.304       
  205  USDJPYrfd      21  1200   500    +215.7  1.07 +2021.4  60.9%   0.03   0.1  0.304       
  206  USDCHFrfd      28   900   300    +174.9  1.08 +1271.9  68.8%   0.03   0.1  0.303       
  207  EURUSDrfd      28   900   700    +143.3  1.10  +839.3  71.4%   0.03   0.2  0.300       
  208  USDCADrfd      28   300   300    +200.3  1.11 +1004.7  56.0%   0.05   0.2  0.299       
  209  EURUSDrfd      28   500   500    +143.3  1.09  +886.5  70.6%   0.03   0.2  0.298       
  210  USDJPYrfd      28   500   500    +191.2  1.07 +1563.5  57.1%   0.03   0.1  0.291       
  211  EURUSDrfd      28   300  1100    +168.5  1.08  +811.5  60.0%   0.03   0.2  0.289       
  212  USDJPYrfd      21   700   300    +141.8  1.06 +1058.2  67.9%   0.02   0.1  0.287       
  213  USDCADrfd      28   500   300    +145.3  1.08  +966.0  61.9%   0.03   0.2  0.284       
